,State,Year,NOR(I),NOE(I),NOR(O),NOE(O)
395,OK,2007,42532,87620,39544,80572
396,OH,2007,80999,148739,101574,181527
397,NY,2007,173194,265112,201570,353872
398,CO,2007,86398,158999,68815,129053
399,VA,2007,128942,240700,123732,236854
400,MS,2007,31947,65359,30940,62234
401,RI,2007,13147,21681,16521,28349
402,MO,2007,64672,121712,64563,120597
403,NV,2007,60793,111924,51464,97490
404,VT,2007,9470,15028,10826,16551
405,IL,2007,112836,192433,122724,223922
406,TX,2007,239377,493840,176550,354440
407,MN,2007,46612,80987,49736,85923
408,ME,2004,15339,27817,14780,25143
409,LA,2004,34531,69068,39028,79037
410,KS,2004,33153,67776,38086,76829
411,MI,2004,50847,98544,75182,137928
412,UT,2004,28502,64216,27533,61403
413,FL,2004,292377,556187,187817,347330
414,NV,2004,65624,124485,43004,83443
415,SC,2004,58944,116905,46038,89141
416,PA,2004,97837,187480,105898,186674
417,IA,2004,26929,53105,30420,55526
418,WI,2004,42171,80809,46057,81483
419,IL,2004,92445,165589,119261,228355
420,DC,2004,22545,30819,23403,38365
421,AK,2004,13497,26336,14382,28973
422,IN,2004,55080,111879,57401,108164
423,CO,2004,72781,135848,68704,130859
424,DE,2004,15400,29061,12310,23029
425,VA,2004,119328,229138,109975,211946
426,OK,2004,36344,77028,36562,75635
427,NJ,2004,79062,146413,104014,196067
428,RI,2004,12467,21332,16655,30209
429,WA,2004,81217,155005,71665,137263
430,SD,2004,10686,20201,10751,19745
431,KY,2004,42112,85957,38781,77017
432,CA,2004,203466,351509,275429,552659
433,ID,2004,25003,53755,18810,38247
434,AZ,2004,112506,222514,68514,132497
435,NH,2004,22731,40484,22113,37999
436,TN,2004,75213,152838,59839,119023
437,OH,2004,71799,138407,95149,173407
438,HI,2004,21921,40528,20694,41752
439,AL,2004,42374,89725,38276,77973
440,MA,2004,58597,91850,83464,142506
441,NY,2004,128714,205459,206291,385375
442,ND,2004,8622,15608,10346,18564
443,MN,2004,41288,74502,45627,81732
444,NC,2004,118444,235799,91884,180317
445,MT,2004,15595,29389,13978,25219
446,NM,2004,29916,60202,27141,54301
447,NE,2004,18887,38282,21553,41935
448,AR,2004,31018,66299,26456,54012
449,OR,2004,51715,94971,42198,78258
450,WV,2004,18534,37249,18104,33742
451,MO,2004,60193,118747,57904,110564
452,MS,2004,28476,59874,28254,57916
453,MD,2004,75496,136991,78434,147076
454,CT,2004,35809,65279,43182,76794
455,WY,2004,11063,21579,11158,21206
456,VT,2004,9423,15510,9975,15910
457,GA,2004,116097,238766,96434,194289
458,TX,2004,174524,367442,157728,321719
459,DE,2003,27532.0,707896.0,22433.0,598082.0
460,AZ,2003,193433.0,4412456.0,130399.0,2757421.0
461,HI,2003,40834.0,847441.0,42857.0,738793.0
462,MT,2003,29261.0,602123.0,24494.0,410558.0
463,LA,2003,67861.0,1218968.0,73766.0,1381142.0
464,RI,2003,22780.0,652765.0,27244.0,683577.0
465,MN,2003,73413.0,1788153.0,81083.0,2120968.0
466,NM,2003,59010.0,1100573.0,54008.0,971007.0
467,WA,2003,145923.0,3390105.0,135192.0,2964298.0
468,NV,2003,122779.0,2830762.0,73112.0,1496905.0
469,FL,2003,530235.0,14423575.0,321414.0,6898032.0
470,ME,2003,28723.0,784991.0,23659.0,544346.0
471,AK,2003,27904.0,478449.0,28995.0,556048.0
472,VT,2003,15832.0,402221.0,15862.0,367742.0
473,WV,2003,35322.0,630150.0,32577.0,595281.0
474,NH,2003,40391.0,1211996.0,37286.0,926717.0
475,MO,2003,113343.0,2267938.0,108169.0,2435117.0
476,TN,2003,138574.0,2691283.0,117931.0,2310553.0
477,NC,2003,211865.0,4597509.0,174060.0,3641913.0
478,CT,2003,63547.0,2410154.0,74708.0,2814747.0
479,SC,2003,106634.0,2420304.0,85942.0,1651435.0
480,WY,2003,21330.0,445652.0,20360.0,372492.0
481,CA,2003,357043.0,8998610.0,481808.0,11784092.0
482,AL,2003,83901.0,1572629.0,77380.0,1423201.0
483,MI,2003,100452.0,2405396.0,129464.0,3132217.0
484,GA,2003,220099.0,4437326.0,181969.0,4101530.0
485,NY,2003,196177.0,5527126.0,356045.0,9842270.0
486,WI,2003,78644.0,1839792.0,77580.0,1898877.0
487,PA,2003,179557.0,4464840.0,178205.0,4815719.0
488,IL,2003,160616.0,4038622.0,224506.0,5823687.0
489,AR,2003,62854.0,1059885.0,54020.0,864354.0
490,MD,2003,133664.0,3396677.0,138476.0,3925151.0
491,IA,2003,51999.0,991128.0,55074.0,1154189.0
492,OK,2003,73041.0,1179321.0,76282.0,1330923.0
493,SD,2003,20358.0,404832.0,18876.0,356979.0
494,NJ,2003,143900.0,4613696.0,182498.0,5726311.0
495,DC,2003,30638.0,989117.0,37974.0,1207394.0
496,MS,2003,60390.0,1003709.0,56499.0,933130.0
497,ND,2003,16034.0,281228.0,17201.0,329437.0
498,VA,2003,220459.0,5438208.0,195543.0,4966402.0
499,UT,2003,55153.0,1031018.0,60997.0,1025489.0
500,ID,2003,47345.0,843857.0,37446.0,614807.0
501,IN,2003,104848.0,2082682.0,109058.0,2371360.0
502,CO,2003,127981.0,3083867.0,132674.0,3007336.0
503,MA,2003,88511.0,2714324.0,138770.0,4126689.0
504,OR,2003,83668.0,1799834.0,83419.0,1685746.0
505,TX,2003,345439.0,7323258.0,316188.0,6694075.0
506,NE,2003,37434.0,691066.0,41292.0,826946.0
507,KY,2003,80063.0,1458278.0,74170.0,1364987.0
508,KS,2003,66120.0,1310852.0,76030.0,1538587.0
509,OH,2003,137350.0,3042753.0,165269.0,4230341.0
510,VT,1990,8645,15429,9405,16248
511,NC,1990,95112,197450,80731,165667
512,NM,1990,31318,70453,28493,64133
513,PA,1990,92033,181940,98347,181510
514,MT,1990,13869,28591,13442,26436
515,TX,1990,180668,397992,166122,364223
516,WA,1990,90314,183887,62841,128296
517,KS,1990,35930,79347,39833,84631
518,NJ,1990,74069,141156,100275,190163
519,SC,1990,54419,115943,42737,90930
520,MN,1990,40653,77952,39327,72571
521,TN,1990,66519,143664,56231,117606
522,ME,1990,14746,28983,16050,30153
523,ND,1990,8583,17212,11566,23819
524,NY,1990,110500,194767,180684,337429
525,NH,1990,20128,36700,25830,49225
526,CT,1990,36062,65460,48479,88831
527,NE,1990,19880,43341,20787,42867
528,UT,1990,23540,54446,20081,47969
529,AL,1990,44887,99956,40385,87079
530,SD,1990,10534,22016,10377,20991
531,WI,1990,42084,84849,39144,70450
532,HI,1990,26231,51149,24896,53106
533,WY,1990,10784,23236,10848,22869
534,ID,1990,21268,48579,16070,34663
535,OH,1990,83793,170714,90404,173540
536,FL,1990,254551,496943,181009,350937
537,IL,1990,97133,187602,114303,226739
538,DC,1990,20513,30978,25917,44661
539,MO,1990,56110,116000,57940,116142
540,AZ,1990,78319,159653,68645,142754
541,NV,1990,49990,98167,28611,56079
542,AR,1990,30049,67067,28859,62373
543,GA,1990,103005,216340,83274,173409
544,AK,1990,16025,33009,13486,29521
545,MD,1990,73518,140789,69552,133713
546,CO,1990,73040,146283,61195,123158
547,MI,1990,60159,120912,75276,142118
548,CA,1990,245535,448258,277327,571032
549,OR,1990,50372,101895,35253,68729
550,LA,1990,41268,89546,45939,99992
551,DE,1990,12742,24681,10300,20213
552,IN,1990,56034,118109,54571,107455
553,MS,1990,27132,60541,29137,62824
554,RI,1990,11307,21040,14181,26720
555,KY,1990,39667,85001,39583,82333
556,WV,1990,19988,42560,19745,39200
557,VA,1990,114962,232340,106446,219397
558,OK,1990,41284,92066,41901,90844
559,MA,1990,49971,83244,83747,143954
560,IA,1990,28506,59370,31045,59229
561,AK,1995,14711,30623,,
562,PA,1995,85282,162840,99612,182856
563,NH,1995,21776,39970,19106,33329
564,IA,1995,28864,58433,31643,60248
565,MI,1995,65227,129983,69118,128941
566,LA,1995,36977,76908,42123,88647
567,MO,1995,62700,127348,56300,111418
568,CA,1995,203317,359356,269836,556760
569,ND,1995,9904,19802,10699,21052
570,KS,1995,36614,78226,40537,86242
571,ID,1995,21717,47913,17997,38694
572,NE,1995,21833,46837,21473,44505
573,CO,1995,84080,161653,66963,131701
574,AR,1995,32718,71173,27194,57195
575,MA,1995,63409,100566,65759,111909
576,DC,1995,20384,30216,25475,43371
577,NY,1995,110404,181248,183368,341189
578,AL,1995,43967,95171,42323,89085
579,WY,1995,10631,22187,11313,23010
580,SC,1995,54275,110569,46499,97536
581,NJ,1995,72450,137301,90520,168026
582,NV,1995,53386,104042,32379,61680
583,MN,1995,44371,84826,41011,74824
584,TN,1995,76567,159185,57700,118431
585,ME,1995,13891,26211,14021,24762
586,OK,1995,41548,91355,39443,83956
587,GA,1995,121273,247618,87368,178388
588,CT,1995,33780,61377,44391,79245
589,UT,1995,27235,60210,23410,53735
590,IL,1995,97167,181906,116823,229434
591,MS,1995,29858,63776,28247,58567
592,WI,1995,42145,83851,41124,75093
593,TX,1995,187278,400384,166338,357933
594,IN,1995,58200,119962,56332,109809
595,RI,1995,11122,19893,13738,24588
596,VT,1995,9244,16046,8917,14935
597,SD,1995,10735,21697,11370,22753
598,WA,1995,83696,164789,69599,139696
599,WV,1995,17794,36593,18506,36179
600,OR,1995,52213,100116,37525,72587
601,KY,1995,42989,90324,40183,82895
602,AZ,1995,95049,186898,63873,127999
603,FL,1995,229449,439663,179887,346163
